p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.5257356429629e-08,1.79371643788272,0.488,0.597,0.000816035393782641,Tumor Edge ,LY6E
4.82629029551336e-58,1.78147348274381,0.646,0.433,8.70228403184014e-54,Tumor Edge ,NRAS
3.1892371589923e-70,1.69560071396949,0.674,0.378,5.75051352137901e-66,Tumor Edge ,HMGCS2
8.7690339160365e-07,1.66784218883968,0.472,0.577,0.0158114450540054,Tumor Edge ,MT2A
1.69404166259594e-13,1.64640297419509,0.532,0.621,3.05452652182674e-09,Tumor Edge ,TOMM7
6.8330310171011e-11,1.63744096313859,0.466,0.505,1.2320638226935e-06,Tumor Edge ,NUCKS1
6.35782783164341e-09,1.63103988302056,0.456,0.517,0.000114637993632362,Tumor Edge ,BSG
1.05072689801476e-93,1.62148023843187,0.834,0.605,1.89456566981041e-89,Tumor Edge ,HSP90AA1
2.20457053045251e-46,1.59787745858499,0.688,0.638,3.97506112345891e-42,Tumor Edge ,SELENOW
0.00252676343377773,1.59524883778887,0.404,0.512,1,Tumor Edge ,UBL5
8.50989060224574e-67,1.59014401792064,0.676,0.375,1.53441837449093e-62,Tumor Edge ,CDH2
7.94227197159622e-11,1.58514396722704,0.494,0.559,1.43207105919851e-06,Tumor Edge ,S100A13
8.19280255749556e-130,1.58119253956675,0.94,0.608,1.47724422914202e-125,Tumor Edge ,DCAF7
0.000481935789211889,1.55613806386948,0.408,0.501,1,Tumor Edge ,COX7A2L
0.0023401748178213,1.5541527861403,0.42,0.535,1,Tumor Edge ,PRDX2
1.88381073584813e-63,1.55372840738908,0.748,0.693,3.39669913780777e-59,Tumor Edge ,SERF2
3.25085676790141e-35,1.55016618273461,0.526,0.331,5.86161983820304e-31,Tumor Edge ,TAT
1.02788106325354e-108,1.54637202114937,0.876,0.591,1.85337234515246e-104,Tumor Edge ,FASN
7.00356084157939e-21,1.53406687575001,0.568,0.6,1.26281205534518e-16,Tumor Edge ,CTTN
1.41638887230786e-90,1.52731833951862,0.82,0.555,2.5538907756583e-86,Tumor Edge ,CYB561
9.43430154226878e-44,1.50661494429391,0.642,0.457,1.70109891108648e-39,Tumor Edge ,TACO1
3.52606509618297e-34,1.50254362070022,0.646,0.605,6.35784797492752e-30,Tumor Edge ,PPDPF
2.02389636300454e-79,1.49766064288941,0.794,0.54,3.64928753213348e-75,Tumor Edge ,PGAP3
1.16637084663225e-17,1.48525868538197,0.554,0.592,2.1030832735626e-13,Tumor Edge ,AKT1
0.00579448571548681,1.48247151785439,0.4,0.508,1,Tumor Edge ,PPP1CA
6.36423045864166e-15,1.47277940734901,0.524,0.573,1.14753439399768e-10,Tumor Edge ,COPG1
2.90061470551586e-55,1.47258609729232,0.7,0.49,5.23009837551565e-51,Tumor Edge ,ECM1
0.000321964561276994,1.4648962623526,0.418,0.512,1,Tumor Edge ,APRT
0.000485847493351967,1.45787434873527,0.42,0.519,1,Tumor Edge ,NCL
9.5502621017196e-65,1.45419645102768,0.744,0.507,1.72200775956106e-60,Tumor Edge ,MUC1
4.17202801228922e-65,1.44170808475293,0.782,0.722,7.5225837089587e-61,Tumor Edge ,HSPB1
9.84636721266959e-113,1.44162757504094,0.922,0.69,1.77539847211645e-108,Tumor Edge ,VMP1
1.08611848816496e-45,1.43922516045585,0.718,0.612,1.95838024601023e-41,Tumor Edge ,CSDE1
2.20377749132521e-38,1.43565924086717,0.616,0.465,3.97363119460849e-34,Tumor Edge ,FOXA1
1.85774554589926e-07,1.43385430397985,0.46,0.524,0.00334970099381095,Tumor Edge ,PBX1
9.04565547073659e-05,1.4311181901202,0.44,0.541,1,Tumor Edge ,CHCHD2
4.95523027713546e-110,1.41967970251051,0.9,0.605,8.93477571270294e-106,Tumor Edge ,MIEN1
3.36845569357418e-42,1.4102590567806,0.64,0.472,6.07366246108361e-38,Tumor Edge ,PPM1D
7.94471873842826e-16,1.4060867208266,0.574,0.674,1.432512235726e-11,Tumor Edge ,ANXA5
2.33284382141302e-37,1.40507498777906,0.656,0.616,4.20635069438982e-33,Tumor Edge ,HSP90AB1
0.000951973333799039,1.40411305296943,0.42,0.504,1,Tumor Edge ,POLR1D
6.63097138504003e-09,1.39750371449339,0.512,0.585,0.000119563045043657,Tumor Edge ,IGFBP5
2.98059115656493e-16,1.38833118293365,0.544,0.558,5.37430391440223e-12,Tumor Edge ,KIF5B
0.0025051170446841,1.38723120383743,0.41,0.515,1,Tumor Edge ,CD151
0.000361412763178508,1.38012884641366,0.478,0.646,1,Tumor Edge ,CD63
1.54818767334745e-13,1.37765449900482,0.512,0.533,2.79153719381279e-09,Tumor Edge ,SLC25A39
4.61463411975349e-38,1.3712293156888,0.648,0.494,8.32064678132752e-34,Tumor Edge ,KRT7
7.45303087752896e-05,1.36764299712382,0.474,0.62,1,Tumor Edge ,ITGB1
0.00415198894104398,1.36533465363005,0.42,0.546,1,Tumor Edge ,COPA
5.00923298528874e-53,1.3628187134328,0.732,0.578,9.03214799577412e-49,Tumor Edge ,STARD3
1.42013644624501e-27,1.35123381016153,0.628,0.643,2.56064802622437e-23,Tumor Edge ,H3F3A
6.79463377594972e-113,1.3427597626291,0.954,0.69,1.22514041614149e-108,Tumor Edge ,ERBB2
0.00015506634694065,1.3241455000276,0.428,0.514,1,Tumor Edge ,ATP5F1B
1.45142280143577e-05,1.31250771531585,0.446,0.531,0.261706045326883,Tumor Edge ,SET
1.19998081399092e-14,1.31126666638108,0.55,0.602,2.16368540570703e-10,Tumor Edge ,HNRNPF
1.21135326267237e-23,1.31109697325132,0.61,0.571,2.18419106792454e-19,Tumor Edge ,PSMC5
1.11205896646655e-22,1.31035479273224,0.606,0.597,2.00515352243583e-18,Tumor Edge ,BST2
1.24703352303709e-07,1.30478035811599,0.466,0.534,0.00224852614538817,Tumor Edge ,ECH1
2.42792822770094e-39,1.30107250752751,0.682,0.565,4.37779738736756e-35,Tumor Edge ,CCDC47
3.96922990069298e-05,1.29878553720945,0.464,0.572,0.715691843393951,Tumor Edge ,YWHAE
2.38718798591727e-32,1.29058624122606,0.646,0.518,4.30433865740743e-28,Tumor Edge ,CD9
5.5741449350339e-05,1.28892839208522,0.458,0.574,1,Tumor Edge ,ATP5F1E
