"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.26813713822433,0.563,0.122,0,"0","TCAP"
0,1.26678397004865,0.576,0.129,0,"0","HAGHL"
0,1.26590369654318,0.507,0.104,0,"0","SYNJ2"
0,1.26545114689796,0.795,0.224,0,"0","HSPA1B"
0,1.26453604033864,0.555,0.122,0,"0","AMH"
0,1.26404661904121,0.999,0.503,0,"0","CYB561"
0,1.26210796906167,0.596,0.132,0,"0","NUSAP1"
0,1.26119452827812,0.721,0.189,0,"0","TRIM37"
0,1.25744096537327,0.794,0.218,0,"0","HES1"
0,1.25676052483555,0.996,0.433,0,"0","KRT7"
0,1.2545847480359,0.615,0.137,0,"0","TCEA3"
0,1.25131365653128,0.575,0.128,0,"0","CCNB1"
0,1.24938061070252,0.863,0.281,0,"0","IARS2"
0,1.24897822416905,0.998,0.502,0,"0","STARD3"
0,1.24860666748918,0.904,0.307,0,"0","MTHFD2"
0,1.24760115466721,0.513,0.114,0,"0","MROH6"
0,1.24706747620062,0.847,0.253,0,"0","GGCT"
0,1.24581399611417,0.812,0.238,0,"0","CCT4"
0,1.24472322042392,0.899,0.306,0,"0","MGAT4A"
0,1.24322425414473,0.6,0.138,0,"0","C3orf14"
0,1.24096704220872,0.951,0.367,0,"0","TOB1"
0,1.24013723712792,0.769,0.208,0,"0","C1QBP"
0,1.23856187894649,0.928,0.294,0,"0","TUBD1"
0,1.23775188266415,0.821,0.251,0,"0","FADS2"
0,1.23742464631145,0.884,0.281,0,"0","TMEM106C"
0,1.23710787401737,0.866,0.26,0,"0","EIF3M"
0,1.23531267871267,0.841,0.24,0,"0","TSTD1"
0,1.23445811531184,0.798,0.214,0,"0","SPDEF"
0,1.23149164995534,0.917,0.32,0,"0","HIST1H1B"
0,1.23034976038172,0.67,0.168,0,"0","RHPN1"
0,1.22330064374264,0.772,0.205,0,"0","CRACR2B"
0,1.21533915423502,0.521,0.117,0,"0","VTA1"
0,1.20896280687309,0.632,0.142,0,"0","LNX2"
0,1.20627545090905,0.736,0.202,0,"0","HMGB2"
0,1.2043134576347,0.841,0.257,0,"0","HACD3"
0,1.20165552573955,0.879,0.278,0,"0","METRN"
0,1.19766167548656,0.679,0.167,0,"0","MYO5B"
0,1.19537200807584,0.881,0.282,0,"0","DUSP4"
0,1.19375602809766,0.748,0.206,0,"0","GOT2"
0,1.19292264768633,0.674,0.176,0,"0","CRYBG1"
0,1.19273404232419,0.82,0.219,0,"0","EHF"
