Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000167969,ECI1,Gene Expression,0.232340260568978,0.0,0.0,17597,1.5657613278537903,3195
ENSG00000126602,TRAP1,Gene Expression,0.2322443045230704,0.0,0.0,12966,1.175471880320072,2925
ENSG00000085733,CTTN,Gene Expression,0.23220239688575775,0.0,0.0,52835,5.360785868709987,4377
ENSG00000213463,SYNJ2BP,Gene Expression,0.23174033629916746,0.0,0.0,8251,0.6935436143381009,2413
ENSG00000122862,SRGN,Gene Expression,0.23149359211155124,0.0,0.0,21615,3.4471321852503745,4095
ENSG00000143196,DPT,Gene Expression,0.23147359566048323,0.0,0.0,6667,1.66890856856029,2909
ENSG00000170801,HTRA3,Gene Expression,0.23124180366663993,0.0,0.0,7446,1.128203488044848,2539
ENSG00000123297,TSFM,Gene Expression,0.2311986969916111,0.0,0.0,8854,0.7396817867835469,2503
ENSG00000211685,IGLC7,Gene Expression,0.23111527539795798,0.0,0.0,1140,0.13216360984439457,225
ENSG00000275052,PPP4R3B,Gene Expression,0.2310934528032491,0.0,0.0,23033,2.099434414133704,3550
ENSG00000205476,CCDC85C,Gene Expression,0.23102034796600898,0.0,0.0,6830,0.5444662109323859,2181
ENSG00000164056,SPRY1,Gene Expression,0.23086480487120933,0.0,0.0,13685,2.813818039860239,3992
ENSG00000103855,CD276,Gene Expression,0.2308571266794508,0.0,0.0,21103,3.184716371919248,4079
ENSG00000159259,CHAF1B,Gene Expression,0.23059041522263696,0.0,0.0,3767,0.28082408614153975,1596
ENSG00000152642,GPD1L,Gene Expression,0.23055842549047692,0.0,0.0,11018,0.9463143345803576,2646
ENSG00000163297,ANTXR2,Gene Expression,0.2305073276089905,0.0,0.0,8315,2.051648957304904,3492
ENSG00000135372,NAT10,Gene Expression,0.23032039860393153,0.0,0.0,11005,0.9946409060846431,2768
