dataset,mu,phi,RPL19,TUBB,EEF1G,PPIA,GAPDH,ABCF1,SDHA,OAZ1,G6PD,ALAS1,GUSB,HPRT1,POLR2A,POLR1B,TBP
BRCA-107-06-1A,8235.793003112734,0.6190020028371375,2.5480028266623136,0.5524233893696262,1.4305309438910954,1.104382494030521,1.8762605932456706,0.4015386268120015,0.2644825935885767,1.8991793468151328,0.1152505608140515,0.20549633607739237,0.21706317069075703,0.2605378989838471,0.6496172865773545,0.023516757205422123,0.044424111290222945
SCE-112-14-1A,9140.700683371299,0.39483017611626203,2.8416271842018905,0.6457679960637317,2.195893896519275,1.6042167237526788,2.259669558883957,0.23995746443194552,0.19192473946685473,2.2845193452643207,0.1435014868236416,0.11416321813732587,0.2664795521029355,0.22045321816222507,0.2638518278344923,0.016951847892578698,0.046265275652405985
ESCC-079-03-1A,3386.7323558648113,1.454729165396709,3.3442869174224668,0.5975834890680248,1.2699165237633068,2.135972366432833,2.7688483082891273,0.19099434825810055,0.2540981665111176,1.8810361634646815,0.08046282940111961,0.08346155300407689,0.1311811143888891,0.18901598004714334,0.26807028832731494,0.018464562383648908,0.04800401141117789
CRC-016-25-1A,5100.613887086308,1.588584175763381,2.912853827964867,0.549523827942719,2.378695353245709,1.1239170367498208,1.9637382195082649,0.1487212724753997,0.21812577911928213,1.5008507778361102,0.05162755849903322,0.04543654694337231,0.1517529195319751,0.19556717223433204,0.2316734397562829,0.027514142798843753,0.03101393588043992
OSCC-074-01-1A,5644.107410702936,0.8714467893400739,2.5535501090072867,0.95872438451542,1.4282869145456258,1.6637984865564142,1.861821796571358,0.41046282457550887,0.2679271041971307,1.5245549816794377,0.08135042313982127,0.07596824260052269,0.146379695324095,0.15195479017680483,0.4642363752284575,0.032949158320927735,0.04315299651620892
BRCA-030-15-1A,4682.333333333333,1.6156025652373545,3.2228757729901805,0.9759726617037445,0.04278616189678378,1.7097796378472965,3.472213851578838,0.26445795946980666,0.16367666203908993,2.2181952148922113,0.09764452830570554,0.07934698814450367,0.09213732398263753,0.3537697022036904,0.1432943344386601,0.01578890502256084,0.03102116120006196
ccRCC-060-06-1A,6911.804961310879,0.5981357639900392,2.748237856073953,0.4152040624820526,1.4937117832775428,1.655419372918367,1.771667985776905,0.3613587827361696,0.2410553515567264,1.3903155613670837,0.0850971885048726,0.10809092275666916,0.14508506886621428,0.16148677552646304,0.8511327559294453,0.04280782961738895,0.05567462735432268
ccRCC-061-08-1A,2062.497755277486,0.3689790860933087,3.0560306220369062,0.44289673769941695,2.0429416989005573,1.0958370552289496,1.9161480135414641,0.13400848521560133,0.23369117468734474,1.819599318549903,0.07628511176405713,0.05371353641355447,0.12219380248037222,0.13463435064064389,0.25245501725476,0.013008947798769547,0.023772918445586707
LUAD-003-05-1A,4001.8483146067415,0.7903219628652854,3.547593810166447,0.5907726943037541,2.707567737010566,1.377285027398231,2.0054908682819295,0.3250617227397195,0.14955561142544957,2.2669740409234063,0.10203845628796646,0.09502938813696447,0.0819819216448339,0.14268547494403555,0.3581757206920919,0.00493195916891406,0.0274393289931174
CRC-016-11-1A,4577.1334865811605,0.9794219421408052,3.378251027626731,0.8349592558625154,1.99949427347452,1.4843570018712466,2.2820710511209823,0.2583365339626825,0.17888170891105495,2.0031395784156687,0.05263489105445744,0.057277182212658366,0.12820695821336014,0.186134868695658,0.2639178387225688,0.02434200814974625,0.044871929935558386
